Category: All categories

Week,socks: (United States)
2018-01-28,39
2018-02-04,39
2018-02-11,37
2018-02-18,37
2018-02-25,41
2018-03-04,37
2018-03-11,35
2018-03-18,36
2018-03-25,34
2018-04-01,33
2018-04-08,34
2018-04-15,33
2018-04-22,37
2018-04-29,36
2018-05-06,35
2018-05-13,34
2018-05-20,32
2018-05-27,36
2018-06-03,35
2018-06-10,35
2018-06-17,34
2018-06-24,33
2018-07-01,34
2018-07-08,35
2018-07-15,34
2018-07-22,36
2018-07-29,38
2018-08-05,39
2018-08-12,36
2018-08-19,34
2018-08-26,35
2018-09-02,38
2018-09-09,35
2018-09-16,38
2018-09-23,36
2018-09-30,40
2018-10-07,41
2018-10-14,48
2018-10-21,50
2018-10-28,48
2018-11-04,54
2018-11-11,64
2018-11-18,79
2018-11-25,83
2018-12-02,96
2018-12-09,100
2018-12-16,82
2018-12-23,60
2018-12-30,47
2019-01-06,41
2019-01-13,41
2019-01-20,41
2019-01-27,41
2019-02-03,40
2019-02-10,40
2019-02-17,37
2019-02-24,39
2019-03-03,40
2019-03-10,37
2019-03-17,38
2019-03-24,36
2019-03-31,36
2019-04-07,37
2019-04-14,34
2019-04-21,35
2019-04-28,36
2019-05-05,37
2019-05-12,34
2019-05-19,34
2019-05-26,35
2019-06-02,37
2019-06-09,36
2019-06-16,35
2019-06-23,35
2019-06-30,32
2019-07-07,33
2019-07-14,36
2019-07-21,36
2019-07-28,37
2019-08-04,37
2019-08-11,40
2019-08-18,38
2019-08-25,36
2019-09-01,40
2019-09-08,37
2019-09-15,40
2019-09-22,38
2019-09-29,44
2019-10-06,42
2019-10-13,47
2019-10-20,49
2019-10-27,50
2019-11-03,54
2019-11-10,65
2019-11-17,67
2019-11-24,84
2019-12-01,94
2019-12-08,98
2019-12-15,92
2019-12-22,66
2019-12-29,47
2020-01-05,43
2020-01-12,41
2020-01-19,42
2020-01-26,37
2020-02-02,40
2020-02-09,39
2020-02-16,39
2020-02-23,39
2020-03-01,41
2020-03-08,32
2020-03-15,25
2020-03-22,26
2020-03-29,28
2020-04-05,31
2020-04-12,31
2020-04-19,33
2020-04-26,33
2020-05-03,36
2020-05-10,36
2020-05-17,39
2020-05-24,38
2020-05-31,34
2020-06-07,37
2020-06-14,37
2020-06-21,36
2020-06-28,36
2020-07-05,35
2020-07-12,36
2020-07-19,37
2020-07-26,35
2020-08-02,35
2020-08-09,35
2020-08-16,34
2020-08-23,33
2020-08-30,33
2020-09-06,36
2020-09-13,36
2020-09-20,35
2020-09-27,35
2020-10-04,40
2020-10-11,43
2020-10-18,47
2020-10-25,51
2020-11-01,40
2020-11-08,56
2020-11-15,65
2020-11-22,75
2020-11-29,94
2020-12-06,92
2020-12-13,82
2020-12-20,62
2020-12-27,49
2021-01-03,42
2021-01-10,41
2021-01-17,40
2021-01-24,43
2021-01-31,42
2021-02-07,42
2021-02-14,41
2021-02-21,38
2021-02-28,40
2021-03-07,38
2021-03-14,37
2021-03-21,38
2021-03-28,38
2021-04-04,37
2021-04-11,37
2021-04-18,37
2021-04-25,37
2021-05-02,37
2021-05-09,36
2021-05-16,38
2021-05-23,39
2021-05-30,37
2021-06-06,38
2021-06-13,37
2021-06-20,33
2021-06-27,36
2021-07-04,37
2021-07-11,37
2021-07-18,39
2021-07-25,38
2021-08-01,40
2021-08-08,41
2021-08-15,41
2021-08-22,40
2021-08-29,40
2021-09-05,39
2021-09-12,39
2021-09-19,40
2021-09-26,43
2021-10-03,46
2021-10-10,46
2021-10-17,50
2021-10-24,54
2021-10-31,54
2021-11-07,60
2021-11-14,67
2021-11-21,79
2021-11-28,88
2021-12-05,87
2021-12-12,83
2021-12-19,67
2021-12-26,51
2022-01-02,50
2022-01-09,47
2022-01-16,45
2022-01-23,48
2022-01-30,45
2022-02-06,49
2022-02-13,42
2022-02-20,43
2022-02-27,44
2022-03-06,42
2022-03-13,45
2022-03-20,44
2022-03-27,46
2022-04-03,41
2022-04-10,42
2022-04-17,41
2022-04-24,39
2022-05-01,42
2022-05-08,41
2022-05-15,41
2022-05-22,39
2022-05-29,41
2022-06-05,44
2022-06-12,43
2022-06-19,42
2022-06-26,40
2022-07-03,40
2022-07-10,40
2022-07-17,44
2022-07-24,43
2022-07-31,45
2022-08-07,46
2022-08-14,45
2022-08-21,46
2022-08-28,41
2022-09-04,43
2022-09-11,43
2022-09-18,43
2022-09-25,45
2022-10-02,48
2022-10-09,49
2022-10-16,53
2022-10-23,53
2022-10-30,49
2022-11-06,57
2022-11-13,71
2022-11-20,84
2022-11-27,90
2022-12-04,87
2022-12-11,94
2022-12-18,83
2022-12-25,62
2023-01-01,49
2023-01-08,48
2023-01-15,46
2023-01-22,43
